FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7113,8349.143808,2,0,1,0,0,0,0.0224342964662565
7115,8349.177152,2,0,1,0,0,0,0.0224319275518285
7117,8349.210496,2,0,1,0,0,0,0.0222701645380278
7119,8349.243808,2,0,1,0,0,0,0.0223896255084706
7121,8349.277152,2,0,1,0,0,0,0.0222867469390241
7123,8349.310464,2,0,1,0,0,0,0.0223432624689503
7125,8349.343808,2,0,1,0,0,0,0.0224502020345591
7127,8349.377152,2,0,1,0,0,0,0.0223659363641901
7129,8349.410464,2,0,1,0,0,0,0.0225182237202786
7131,8349.443808,2,0,1,0,0,0,0.0224143299017916
7133,8349.477152,2,0,1,0,0,0,0.0224945345759982
7135,8349.510464,2,0,1,0,0,0,0.0225331140395406
7137,8349.543808,2,0,1,0,0,0,0.0225784618300202
7139,8349.57712,2,0,1,0,0,0,0.0227486852524924
7141,8349.610464,2,0,1,0,0,0,0.0226322700291715
7143,8349.643808,2,0,1,0,0,0,0.0227534230813485
7145,8349.67712,2,0,1,0,0,0,0.0227057063764408
7147,8349.710464,2,0,1,0,0,0,0.0227825268871788
7149,8349.743808,2,0,1,0,0,0,0.0227090905399094
7151,8349.77712,2,0,1,0,0,0,0.0227361638476585
7153,8349.810464,2,0,1,0,0,0,0.0227777890583227
7155,8349.843808,2,0,1,0,0,0,0.0225307451251125
7157,8349.87712,2,0,1,0,0,0,0.0226552823407582
7159,8349.910464,2,0,1,0,0,0,0.022494872992345
7161,8349.943776,2,0,1,0,0,0,0.0224593392759244
7163,8349.97712,2,0,1,0,0,0,0.0223574759555186
7165,8350.010464,2,0,1,0,0,0,0.0224004548315702
7167,8350.043776,2,0,1,0,0,0,0.0224573087778432
7169,8350.07712,2,0,1,0,0,0,0.0222837011919024
7171,8350.110432,2,0,1,0,0,0,0.0224221134777694
7173,8350.143776,2,0,1,0,0,0,0.022356460706478
7175,8350.17712,2,0,1,0,0,0,0.0223794730180647
7177,8350.210432,2,0,1,0,0,0,0.0223209269900573
7179,8350.243776,2,0,1,0,0,0,0.0222938536823083
7181,8350.27712,2,0,1,0,0,0,0.0223632290334152
7183,8350.310432,2,0,1,0,0,0,0.0222732102851496
7185,8350.343776,2,0,1,0,0,0,0.0223320947295038
7187,8350.37712,2,0,1,0,0,0,0.0222532437206847
7189,8350.410432,2,0,1,0,0,0,0.0222809938611275
7191,8350.443776,2,0,1,0,0,0,0.022398424333489
7193,8350.477088,2,0,1,0,0,0,0.0222576431331939
7195,8350.510432,2,0,1,0,0,0,0.0223930096719392
7197,8350.543776,2,0,1,0,0,0,0.0223503692122344
7199,8350.577088,2,0,1,0,0,0,0.0224200829796883
7201,8350.610432,2,0,1,0,0,0,0.0224610313576587
7203,8350.643776,2,0,1,0,0,0,0.0224897967471421
7205,8350.677088,2,0,1,0,0,0,0.0225733855848173
7207,8350.710432,2,0,1,0,0,0,0.0224427568749281
7209,8350.743744,2,0,1,0,0,0,0.0225283762106845
7211,8350.777088,2,0,1,0,0,0,0.0228346430045957
7213,8350.810432,2,0,1,0,0,0,0.022955119224079
7215,8350.843744,2,0,1,0,0,0,0.0231077449965143
7217,8350.877088,2,0,1,0,0,0,0.0231019919186176
7219,8350.910432,2,0,1,0,0,0,0.0231700136043371
7221,8350.943744,2,0,1,0,0,0,0.0231981021611268
7223,8350.977088,2,0,1,0,0,0,0.023224837052529
7225,8351.010432,2,0,1,0,0,0,0.0230999614205365
7227,8351.043744,2,0,1,0,0,0,0.0230001285982118
7229,8351.077088,2,0,1,0,0,0,0.0232383737064035
7231,8351.110432,2,0,1,0,0,0,0.0232874440766987
7233,8351.143744,2,0,1,0,0,0,0.0234261947789126
7235,8351.177056,2,0,1,0,0,0,0.0234915091338572
7237,8351.210432,2,0,1,0,0,0,0.0234025056346322
7239,8351.243744,2,0,1,0,0,0,0.0235490399128239
7241,8351.277056,2,0,1,0,0,0,0.0234556370010897
7243,8351.310432,2,0,1,0,0,0,0.0234874481376948
7245,8351.343744,2,0,1,0,0,0,0.0235138446127502
7247,8351.377056,2,0,1,0,0,0,0.0234769572309421
7249,8351.410432,2,0,1,0,0,0,0.0234505607558868
7251,8351.443712,2,0,1,0,0,0,0.0233964141403886
7253,8351.477056,2,0,1,0,0,0,0.0233351607816064
7255,8351.510432,2,0,1,0,0,0,0.0233283924546691
7257,8351.543712,2,0,1,0,0,0,0.0232488646131563
7259,8351.577056,2,0,1,0,0,0,0.0233121484700197
7261,8351.610432,2,0,1,0,0,0,0.0231138364907578
7263,8351.643712,2,0,1,0,0,0,0.0230302476530826
7265,8351.677056,2,0,1,0,0,0,0.0231185743196139
7267,8351.710432,2,0,1,0,0,0,0.0230732265291343
7269,8351.743712,2,0,1,0,0,0,0.0231524159543003
7271,8351.777056,2,0,1,0,0,0,0.0230404001434885
7273,8351.810432,2,0,1,0,0,0,0.0230322781511638
7275,8351.843712,2,0,1,0,0,0,0.0228972500287654
7277,8351.877056,2,0,1,0,0,0,0.0229317684961454
7279,8351.910368,2,0,1,0,0,0,0.0228657773085071
7281,8351.943712,2,0,1,0,0,0,0.0226156876281752
7283,8351.977056,2,0,1,0,0,0,0.022804185533378
7285,8352.010368,2,0,1,0,0,0,0.022551726938618
7287,8352.043712,2,0,1,0,0,0,0.0227371790966991
7289,8352.077024,2,0,1,0,0,0,0.022715182034153
7291,8352.110368,2,0,1,0,0,0,0.0227713591477323
7293,8352.143712,2,0,1,0,0,0,0.0228495333238577
7295,8352.177024,2,0,1,0,0,0,0.0227263497735995
7297,8352.210368,2,0,1,0,0,0,0.0228596858142636
7299,8352.243712,2,0,1,0,0,0,0.0226007973089132
7301,8352.277024,2,0,1,0,0,0,0.0225737240011642
7303,8352.310368,2,0,1,0,0,0,0.022524653630869
7305,8352.34368,2,0,1,0,0,0,0.0225520653549649
7307,8352.377024,2,0,1,0,0,0,0.0226018125579538
7309,8352.410368,2,0,1,0,0,0,0.0224194061469945
7311,8352.44368,2,0,1,0,0,0,0.0227209351120497
7313,8352.477024,2,0,1,0,0,0,0.0223611985353341
7315,8352.510336,2,0,1,0,0,0,0.022618733375297
7317,8352.54368,2,0,1,0,0,0,0.0224549398634152
7319,8352.577024,2,0,1,0,0,0,0.0224613697740056
7321,8352.610336,2,0,1,0,0,0,0.0225483427751494
7323,8352.64368,2,0,1,0,0,0,0.0223716894420868
7325,8352.677024,2,0,1,0,0,0,0.0224630618557399
7327,8352.710336,2,0,1,0,0,0,0.0222065422648176
7329,8352.74368,2,0,1,0,0,0,0.0223608601189872
7331,8352.776992,2,0,1,0,0,0,0.0221104320223084
7333,8352.810336,2,0,1,0,0,0,0.0221578103108693
7335,8352.84368,2,0,1,0,0,0,0.0221618713070316
7337,8352.876992,2,0,1,0,0,0,0.0220630537337476
7339,8352.910336,2,0,1,0,0,0,0.0221764232099467
7341,8352.94368,2,0,1,0,0,0,0.0219415622652237
7343,8352.976992,2,0,1,0,0,0,0.0220187211923085
7345,8353.010336,2,0,1,0,0,0,0.0217479881148179
7347,8353.04368,2,0,1,0,0,0,0.0219422390979174
7349,8353.076992,2,0,1,0,0,0,0.0219236261988399
7351,8353.110336,2,0,1,0,0,0,0.0219067053814967
7353,8353.143648,2,0,1,0,0,0,0.0218620344237108
7355,8353.176992,2,0,1,0,0,0,0.0217127928147441
7357,8353.210336,2,0,1,0,0,0,0.021858988676589
7359,8353.243648,2,0,1,0,0,0,0.0216911341685449
7361,8353.276992,2,0,1,0,0,0,0.0219199036190244
7363,8353.310336,2,0,1,0,0,0,0.0217611863523456
7365,8353.343648,2,0,1,0,0,0,0.021864064921792
7367,8353.376992,2,0,1,0,0,0,0.0217246373868843
7369,8353.410304,2,0,1,0,0,0,0.0216471400434527
7371,8353.443648,2,0,1,0,0,0,0.0217733693408326
7373,8353.476992,2,0,1,0,0,0,0.0216664297752239
7375,8353.510304,2,0,1,0,0,0,0.0218600039256296
7377,8353.543648,2,0,1,0,0,0,0.0216065300818291
7379,8353.576992,2,0,1,0,0,0,0.0217767535043013
7381,8353.610304,2,0,1,0,0,0,0.0215598286259619
7383,8353.643648,2,0,1,0,0,0,0.0216823353435264
7385,8353.67696,2,0,1,0,0,0,0.0216731981021611
7387,8353.710304,2,0,1,0,0,0,0.0216278503116815
7389,8353.743648,2,0,1,0,0,0,0.0216779359310172
7391,8353.77696,2,0,1,0,0,0,0.0215236180768476
7393,8353.810304,2,0,1,0,0,0,0.0217838602475854
7395,8353.843648,2,0,1,0,0,0,0.0215973928404638
7397,8353.87696,2,0,1,0,0,0,0.0217561101071426
7399,8353.910304,2,0,1,0,0,0,0.0216292039770689
7401,8353.943616,2,0,1,0,0,0,0.0216569541175117
7403,8353.97696,2,0,1,0,0,0,0.0216711676040799
7405,8354.010304,2,0,1,0,0,0,0.021619051486663
7407,8354.043616,2,0,1,0,0,0,0.0217984121505005
7409,8354.07696,2,0,1,0,0,0,0.0214884227767738
7411,8354.110272,2,0,1,0,0,0,0.0217432502859618
7413,8354.143616,2,0,1,0,0,0,0.0215584749605745
7415,8354.17696,2,0,1,0,0,0,0.0217094086512755
7417,8354.210272,2,0,1,0,0,0,0.0216687986896519
7419,8354.243616,2,0,1,0,0,0,0.0218528971823455
