FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7124,7046.720128,1,0,1,0,0,0,0.00744380596560336
7126,7046.753472,1,0,1,0,0,0,0.0074498974598469
7128,7046.786816,1,0,1,0,0,0,0.00740827224918272
7130,7046.820128,1,0,1,0,0,0,0.007439744969441
7132,7046.853472,1,0,1,0,0,0,0.00747189452239301
7134,7046.886784,1,0,1,0,0,0,0.00743466872423806
7136,7046.920128,1,0,1,0,0,0,0.00748238542914577
7138,7046.953472,1,0,1,0,0,0,0.00745192795792808
7140,7046.986784,1,0,1,0,0,0,0.00743263822615688
7142,7047.020128,1,0,1,0,0,0,0.00748881533973617
7144,7047.053472,1,0,1,0,0,0,0.0074498974598469
7146,7047.086784,1,0,1,0,0,0,0.0074600499502528
7148,7047.120128,1,0,1,0,0,0,0.00748069334741145
7150,7047.15344,1,0,1,0,0,0,0.00741334849438567
7152,7047.186784,1,0,1,0,0,0,0.00744482121464395
7154,7047.220128,1,0,1,0,0,0,0.0074241778174853
7156,7047.25344,1,0,1,0,0,0,0.00741842473958862
7158,7047.286784,1,0,1,0,0,0,0.00744786696176572
7160,7047.320128,1,0,1,0,0,0,0.00739676609338937
7162,7047.35344,1,0,1,0,0,0,0.00744042180213473
7164,7047.386784,1,0,1,0,0,0,0.00743399189154433
7166,7047.420128,1,0,1,0,0,0,0.0073744306144964
7168,7047.45344,1,0,1,0,0,0,0.0074498974598469
7170,7047.486784,1,0,1,0,0,0,0.00739913500781742
7172,7047.520096,1,0,1,0,0,0,0.00742383940113843
7174,7047.55344,1,0,1,0,0,0,0.0074167326578543
7176,7047.586784,1,0,1,0,0,0,0.00739608926069565
7178,7047.620096,1,0,1,0,0,0,0.00740793383283586
7180,7047.65344,1,0,1,0,0,0,0.00739879659147055
7182,7047.686752,1,0,1,0,0,0,0.00741470215977312
7184,7047.720096,1,0,1,0,0,0,0.00745531212139671
7186,7047.75344,1,0,1,0,0,0,0.00744752854541886
7188,7047.786752,1,0,1,0,0,0,0.00743433030789119
7190,7047.820096,1,0,1,0,0,0,0.00739947342416428
7192,7047.85344,1,0,1,0,0,0,0.00741368691073254
7194,7047.886752,1,0,1,0,0,0,0.00745598895409044
7196,7047.920096,1,0,1,0,0,0,0.00742925406268824
7198,7047.95344,1,0,1,0,0,0,0.007439744969441
7200,7047.986752,1,0,1,0,0,0,0.00746411094641515
7202,7048.020096,1,0,1,0,0,0,0.00742282415209784
7204,7048.05344,1,0,1,0,0,0,0.00748813850704244
7206,7048.086752,1,0,1,0,0,0,0.00743433030789119
7208,7048.120096,1,0,1,0,0,0,0.00747257135508674
7210,7048.15344,1,0,1,0,0,0,0.00747324818778046
7212,7048.186752,1,0,1,0,0,0,0.00744651329637827
7214,7048.220064,1,0,1,0,0,0,0.00748204701279891
7216,7048.25344,1,0,1,0,0,0,0.00746411094641515
7218,7048.286752,1,0,1,0,0,0,0.00750912032054796
7220,7048.320064,1,0,1,0,0,0,0.0074894921724299
7222,7048.35344,1,0,1,0,0,0,0.00748001651471773
7224,7048.386752,1,0,1,0,0,0,0.00750302882630443
7226,7048.420064,1,0,1,0,0,0,0.00747595551855537
7228,7048.45344,1,0,1,0,0,0,0.00748509275992067
7230,7048.48672,1,0,1,0,0,0,0.00745835786851848
7232,7048.520064,1,0,1,0,0,0,0.00748340067818636
7234,7048.55344,1,0,1,0,0,0,0.0074729097714336
7236,7048.58672,1,0,1,0,0,0,0.00752976371770662
7238,7048.620064,1,0,1,0,0,0,0.00749253791955167
7240,7048.65344,1,0,1,0,0,0,0.00750370565899815
7242,7048.68672,1,0,1,0,0,0,0.00750472090803874
7244,7048.720064,1,0,1,0,0,0,0.00751385814940405
7246,7048.75344,1,0,1,0,0,0,0.00751622706383209
7248,7048.78672,1,0,1,0,0,0,0.00747900126567714
7250,7048.820064,1,0,1,0,0,0,0.00751622706383209
7252,7048.85344,1,0,1,0,0,0,0.00749727574840775
7254,7048.88672,1,0,1,0,0,0,0.00749186108685794
7256,7048.920064,1,0,1,0,0,0,0.00753044055040035
7258,7048.95344,1,0,1,0,0,0,0.00752367222346308
7260,7048.98672,1,0,1,0,0,0,0.00750269040995756
7262,7049.020064,1,0,1,0,0,0,0.00751284290036346
7264,7049.05344,1,0,1,0,0,0,0.00753145579944094
7266,7049.08672,1,0,1,0,0,0,0.00753991620811252
7268,7049.120032,1,0,1,0,0,0,0.00751419656575091
7270,7049.15344,1,0,1,0,0,0,0.00753280946482839
7272,7049.18672,1,0,1,0,0,0,0.00754499245331546
7274,7049.220032,1,0,1,0,0,0,0.00751656548017895
7276,7049.253376,1,0,1,0,0,0,0.00755649860910881
7278,7049.286688,1,0,1,0,0,0,0.00753585521195016
7280,7049.320032,1,0,1,0,0,0,0.00753585521195016
7282,7049.353376,1,0,1,0,0,0,0.00755548336006822
7284,7049.386688,1,0,1,0,0,0,0.00756868159759589
