FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7123,3686.64848,2,0,1,0,0,0,0.0112185018985157
7125,3686.681792,2,0,1,0,0,0,0.011197858501357
7127,3686.715136,2,0,1,0,0,0,0.0111785687695858
7129,3686.74848,2,0,1,0,0,0,0.0111843218474825
7131,3686.781792,2,0,1,0,0,0,0.0111839834311357
7133,3686.815136,2,0,1,0,0,0,0.0111839834311357
7135,3686.848448,2,0,1,0,0,0,0.0111870291782574
7137,3686.881792,2,0,1,0,0,0,0.0111870291782574
7139,3686.915136,2,0,1,0,0,0,0.0111555564579991
7141,3686.948448,2,0,1,0,0,0,0.0111264526521689
7143,3686.981792,2,0,1,0,0,0,0.0111426966368183
7145,3687.015136,2,0,1,0,0,0,0.0111643552830176
7147,3687.048448,2,0,1,0,0,0,0.0111674010301394
7149,3687.081792,2,0,1,0,0,0,0.0111481112983682
7151,3687.115136,2,0,1,0,0,0,0.0111443887185527
7153,3687.148448,2,0,1,0,0,0,0.0111403277223903
7155,3687.181792,2,0,1,0,0,0,0.0111663857810988
7157,3687.215104,2,0,1,0,0,0,0.0111934590888478
7159,3687.248448,2,0,1,0,0,0,0.0111528491272242
7161,3687.281792,2,0,1,0,0,0,0.0111640168666707
7163,3687.315104,2,0,1,0,0,0,0.0111332209791062
7165,3687.348448,2,0,1,0,0,0,0.0111812761003608
7167,3687.381792,2,0,1,0,0,0,0.0111640168666707
7169,3687.415104,2,0,1,0,0,0,0.0111477728820213
7171,3687.448448,2,0,1,0,0,0,0.0111748461897703
7173,3687.48176,2,0,1,0,0,0,0.011148449714715
7175,3687.515104,2,0,1,0,0,0,0.0111599558705084
7177,3687.548448,2,0,1,0,0,0,0.0111416813877778
7179,3687.58176,2,0,1,0,0,0,0.0111873675946043
7181,3687.615104,2,0,1,0,0,0,0.0111474344656744
7183,3687.648416,2,0,1,0,0,0,0.0111457423839401
7185,3687.68176,2,0,1,0,0,0,0.0111464192166338
7187,3687.715104,2,0,1,0,0,0,0.0111538643762648
7189,3687.748416,2,0,1,0,0,0,0.0111420198041246
7191,3687.78176,2,0,1,0,0,0,0.0111271294848626
7193,3687.815104,2,0,1,0,0,0,0.0111403277223903
7195,3687.848416,2,0,1,0,0,0,0.0111487881310619
7197,3687.88176,2,0,1,0,0,0,0.0111176538271505
7199,3687.915104,2,0,1,0,0,0,0.0111542027926117
7201,3687.948416,2,0,1,0,0,0,0.011141004555084
7203,3687.98176,2,0,1,0,0,0,0.0111690931118737
7205,3688.015072,2,0,1,0,0,0,0.0111298368156375
7207,3688.048416,2,0,1,0,0,0,0.0111420198041246
7209,3688.08176,2,0,1,0,0,0,0.0111372819752685
7211,3688.115072,2,0,1,0,0,0,0.0111694315282205
7213,3688.148416,2,0,1,0,0,0,0.0111325441464124
7215,3688.181728,2,0,1,0,0,0,0.0111457423839401
7217,3688.215072,2,0,1,0,0,0,0.011123745321394
7219,3688.248416,2,0,1,0,0,0,0.01109396468287
7221,3688.281728,2,0,1,0,0,0,0.0111589406214678
7223,3688.315072,2,0,1,0,0,0,0.0111667241974456
7225,3688.348416,2,0,1,0,0,0,0.0111670626137925
7227,3688.381728,2,0,1,0,0,0,0.0111630016176301
7229,3688.415072,2,0,1,0,0,0,0.0111592790378146
7231,3688.448416,2,0,1,0,0,0,0.0111910901744198
7233,3688.481728,2,0,1,0,0,0,0.0111518338781837
7235,3688.515072,2,0,1,0,0,0,0.0111792456022796
7237,3688.548416,2,0,1,0,0,0,0.0111839834311357
7239,3688.581728,2,0,1,0,0,0,0.0111897365090323
7241,3688.615072,2,0,1,0,0,0,0.0111423582204715
7243,3688.648416,2,0,1,0,0,0,0.0111660473647519
7245,3688.681728,2,0,1,0,0,0,0.0111528491272242
7247,3688.71504,2,0,1,0,0,0,0.0111338978117999
7249,3688.748416,2,0,1,0,0,0,0.0111704467772611
7251,3688.781728,2,0,1,0,0,0,0.0111366051425748
7253,3688.81504,2,0,1,0,0,0,0.0111525107108774
7255,3688.848416,2,0,1,0,0,0,0.0111802608513202
7257,3688.881728,2,0,1,0,0,0,0.0111075013367446
7259,3688.91504,2,0,1,0,0,0,0.0111833065984419
7261,3688.948416,2,0,1,0,0,0,0.0111545412089586
7263,3688.981696,2,0,1,0,0,0,0.0111271294848626
7265,3689.01504,2,0,1,0,0,0,0.0111372819752685
7267,3689.048416,2,0,1,0,0,0,0.0111474344656744
7269,3689.081696,2,0,1,0,0,0,0.0111494649637556
7271,3689.11504,2,0,1,0,0,0,0.0111555564579991
7273,3689.148416,2,0,1,0,0,0,0.0111565717070397
7275,3689.181696,2,0,1,0,0,0,0.0111193459088848
7277,3689.21504,2,0,1,0,0,0,0.0111284831502501
7279,3689.248416,2,0,1,0,0,0,0.0111447271348995
7281,3689.281696,2,0,1,0,0,0,0.0111491265474087
7283,3689.31504,2,0,1,0,0,0,0.011116300161763
7285,3689.348352,2,0,1,0,0,0,0.0110922726011357
7287,3689.381696,2,0,1,0,0,0,0.011113931247335
7289,3689.41504,2,0,1,0,0,0,0.0111098702511726
7291,3689.448352,2,0,1,0,0,0,0.0111281447339032
7293,3689.481696,2,0,1,0,0,0,0.0111284831502501
7295,3689.51504,2,0,1,0,0,0,0.011116300161763
7297,3689.548352,2,0,1,0,0,0,0.0110905805194014
7299,3689.581696,2,0,1,0,0,0,0.0111328825627593
7301,3689.615008,2,0,1,0,0,0,0.0111301752319844
7303,3689.648352,2,0,1,0,0,0,0.0111220532396597
7305,3689.681696,2,0,1,0,0,0,0.0111305136483313
7307,3689.715008,2,0,1,0,0,0,0.0111291599829438
7309,3689.748352,2,0,1,0,0,0,0.0111027635078885
7311,3689.781696,2,0,1,0,0,0,0.011116300161763
7313,3689.815008,2,0,1,0,0,0,0.0111372819752685
7315,3689.848352,2,0,1,0,0,0,0.0111200227415785
7317,3689.881664,2,0,1,0,0,0,0.0111122391656007
7319,3689.915008,2,0,1,0,0,0,0.0110882116049734
7321,3689.948352,2,0,1,0,0,0,0.011131190481025
7323,3689.981664,2,0,1,0,0,0,0.0111457423839401
7325,3690.015008,2,0,1,0,0,0,0.0110848274415047
7327,3690.048352,2,0,1,0,0,0,0.0111569101233866
7329,3690.081664,2,0,1,0,0,0,0.0111305136483313
7331,3690.115008,2,0,1,0,0,0,0.0110966720136449
7333,3690.14832,2,0,1,0,0,0,0.0111910901744198
7335,3690.181664,2,0,1,0,0,0,0.0111802608513202
7337,3690.215008,2,0,1,0,0,0,0.0111812761003608
7339,3690.24832,2,0,1,0,0,0,0.0112323769687371
7341,3690.281664,2,0,1,0,0,0,0.0111866907619106
7343,3690.315008,2,0,1,0,0,0,0.0112120719879253
7345,3690.34832,2,0,1,0,0,0,0.0112012426648257
7347,3690.381664,2,0,1,0,0,0,0.0111643552830176
7349,3690.414976,2,0,1,0,0,0,0.0112080109917629
7351,3690.44832,2,0,1,0,0,0,0.0112049652446412
7353,3690.481664,2,0,1,0,0,0,0.0111643552830176
7355,3690.514976,2,0,1,0,0,0,0.011133559395453
7357,3690.54832,2,0,1,0,0,0,0.0111941359215416
7359,3690.581664,2,0,1,0,0,0,0.0111646936993645
7361,3690.614976,2,0,1,0,0,0,0.0111718004426486
7363,3690.64832,2,0,1,0,0,0,0.0111542027926117
7365,3690.681632,2,0,1,0,0,0,0.0111968432523165
7367,3690.714976,2,0,1,0,0,0,0.0111748461897703
7369,3690.74832,2,0,1,0,0,0,0.0111711236099549
7371,3690.781632,2,0,1,0,0,0,0.0111738309407298
7373,3690.814976,2,0,1,0,0,0,0.0111802608513202
7375,3690.84832,2,0,1,0,0,0,0.0111565717070397
7377,3690.881632,2,0,1,0,0,0,0.0111623247849364
7379,3690.914976,2,0,1,0,0,0,0.0111095318348257
7381,3690.948288,2,0,1,0,0,0,0.0112012426648257
7383,3690.981632,2,0,1,0,0,0,0.0111592790378146
7385,3691.014976,2,0,1,0,0,0,0.0111599558705084
7387,3691.048288,2,0,1,0,0,0,0.0111768766878515
7389,3691.081632,2,0,1,0,0,0,0.0111802608513202
7391,3691.114944,2,0,1,0,0,0,0.0111961664196227
7393,3691.148288,2,0,1,0,0,0,0.01120293474656
7395,3691.181632,2,0,1,0,0,0,0.0111971816686633
7397,3691.214944,2,0,1,0,0,0,0.0112036115792537
7399,3691.248288,2,0,1,0,0,0,0.0111917670071135
7401,3691.281632,2,0,1,0,0,0,0.0111589406214678
7403,3691.314944,2,0,1,0,0,0,0.011178230353239
7405,3691.348288,2,0,1,0,0,0,0.0111971816686633
7407,3691.3816,2,0,1,0,0,0,0.011173154108036
7409,3691.414944,2,0,1,0,0,0,0.0111890596763386
7411,3691.448288,2,0,1,0,0,0,0.0112144409023533
7413,3691.4816,2,0,1,0,0,0,0.0111961664196227
7415,3691.514944,2,0,1,0,0,0,0.0112039499956006
7417,3691.548288,2,0,1,0,0,0,0.0112157945677408
7419,3691.5816,2,0,1,0,0,0,0.0111981969177039
7421,3691.614944,2,0,1,0,0,0,0.011195489586929
7423,3691.648256,2,0,1,0,0,0,0.011225270225453
7425,3691.6816,2,0,1,0,0,0,0.0112462520389585
7427,3691.714944,2,0,1,0,0,0,0.0112726485140138
7429,3691.748256,2,0,1,0,0,0,0.0112408373774087
7431,3691.7816,2,0,1,0,0,0,0.0112432062918367
7433,3691.814944,2,0,1,0,0,0,0.0112753558447887
7435,3691.848256,2,0,1,0,0,0,0.0112604655255267
7437,3691.8816,2,0,1,0,0,0,0.0112729869303607
7439,3691.914944,2,0,1,0,0,0,0.0112702795995858
7441,3691.948256,2,0,1,0,0,0,0.0112384684629806
7443,3691.9816,2,0,1,0,0,0,0.0112459136226116
7445,3692.014912,2,0,1,0,0,0,0.0112415142101024
7447,3692.048256,2,0,1,0,0,0,0.0112486209533865
7449,3692.0816,2,0,1,0,0,0,0.0112621576072611
7451,3692.114912,2,0,1,0,0,0,0.0112408373774087
7453,3692.148256,2,0,1,0,0,0,0.0112492977860803
7455,3692.1816,2,0,1,0,0,0,0.0112435447081836
7457,3692.214912,2,0,1,0,0,0,0.0112083494081098
7459,3692.248256,2,0,1,0,0,0,0.0112235781437187
7461,3692.281568,2,0,1,0,0,0,0.0112296696379622
7463,3692.314912,2,0,1,0,0,0,0.0111961664196227
7465,3692.348256,2,0,1,0,0,0,0.0112235781437187
7467,3692.381568,2,0,1,0,0,0,0.0112479441206928
7469,3692.414912,2,0,1,0,0,0,0.0112388068793275
7471,3692.448256,2,0,1,0,0,0,0.0112354227158589
7473,3692.481568,2,0,1,0,0,0,0.0112780631755636
7475,3692.514912,2,0,1,0,0,0,0.0112591118601393
7477,3692.548224,2,0,1,0,0,0,0.0112587734437924
7479,3692.581568,2,0,1,0,0,0,0.0112855083351946
7481,3692.614912,2,0,1,0,0,0,0.0112685875178515
7483,3692.648224,2,0,1,0,0,0,0.011259788692833
7485,3692.681568,2,0,1,0,0,0,0.01123745321394
7487,3692.714912,2,0,1,0,0,0,0.0112696027668921
7489,3692.748224,2,0,1,0,0,0,0.0112428678754899
7491,3692.781568,2,0,1,0,0,0,0.0112256086417998
7493,3692.81488,2,0,1,0,0,0,0.0113058133160064
7495,3692.848224,2,0,1,0,0,0,0.0112337306341246
7497,3692.881568,2,0,1,0,0,0,0.0112976913236817
7499,3692.91488,2,0,1,0,0,0,0.0112580966110987
7501,3692.948224,2,0,1,0,0,0,0.0112354227158589
7503,3692.981568,2,0,1,0,0,0,0.0112445599572242
7505,3693.01488,2,0,1,0,0,0,0.0112168098167814
7507,3693.048224,2,0,1,0,0,0,0.01123745321394
7509,3693.081536,2,0,1,0,0,0,0.0112611423582205
7511,3693.11488,2,0,1,0,0,0,0.0112428678754899
7513,3693.148224,2,0,1,0,0,0,0.0112513282841614
7515,3693.181536,2,0,1,0,0,0,0.0112472672879991
7517,3693.21488,2,0,1,0,0,0,0.0112394837120212
7519,3693.248224,2,0,1,0,0,0,0.011212748820619
7521,3693.281536,2,0,1,0,0,0,0.0112347458831651
7523,3693.31488,2,0,1,0,0,0,0.0112293312216153
