FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7111,4939.09248,2,0,1,0,0,0,0.0144616124949001
7113,4939.125792,2,0,1,0,0,0,0.0144431309781604
7115,4939.159136,2,0,1,0,0,0,0.0144459206410645
7117,4939.19248,2,0,1,0,0,0,0.0144605663713111
7119,4939.225792,2,0,1,0,0,0,0.0144790478880508
7121,4939.259136,2,0,1,0,0,0,0.0144870681689001
7123,4939.292448,2,0,1,0,0,0,0.0144912526632563
7125,4939.325792,2,0,1,0,0,0,0.0144985755283796
7127,4939.359136,2,0,1,0,0,0,0.014507990640681
7129,4939.392448,2,0,1,0,0,0,0.0145254260338316
7131,4939.425792,2,0,1,0,0,0,0.0145620403594481
7133,4939.459136,2,0,1,0,0,0,0.0145065958092289
7135,4939.492448,2,0,1,0,0,0,0.0145397230562152
7137,4939.525792,2,0,1,0,0,0,0.0145728503032015
7139,4939.559136,2,0,1,0,0,0,0.014586449909859
7141,4939.592448,2,0,1,0,0,0,0.0145742451346535
7143,4939.625792,2,0,1,0,0,0,0.0145836602469549
7145,4939.659104,2,0,1,0,0,0,0.0145847063705439
7147,4939.692448,2,0,1,0,0,0,0.0145826141233659
7149,4939.725792,2,0,1,0,0,0,0.0145658761459412
7151,4939.759104,2,0,1,0,0,0,0.0146199258647083
7153,4939.792448,2,0,1,0,0,0,0.0146286435612837
7155,4939.825792,2,0,1,0,0,0,0.0146139978310371
7157,4939.859104,2,0,1,0,0,0,0.0146167874939412
7159,4939.892448,2,0,1,0,0,0,0.0146136491231741
7161,4939.92576,2,0,1,0,0,0,0.014586101201996
7163,4939.959104,2,0,1,0,0,0,0.0146495660330645
7165,4939.992448,2,0,1,0,0,0,0.0146614221004069
7167,4940.02576,2,0,1,0,0,0,0.0145941214828453
7169,4940.059104,2,0,1,0,0,0,0.0146342228870919
7171,4940.092416,2,0,1,0,0,0,0.0145965624378864
7173,4940.12576,2,0,1,0,0,0,0.0146101620445439
7175,4940.159104,2,0,1,0,0,0,0.0145714554717494
7177,4940.192416,2,0,1,0,0,0,0.0145453023820234
7179,4940.22576,2,0,1,0,0,0,0.0145766860896946
7181,4940.259104,2,0,1,0,0,0,0.0145212415394755
7183,4940.292416,2,0,1,0,0,0,0.0145690145167083
7185,4940.32576,2,0,1,0,0,0,0.0145881934491741
7187,4940.359104,2,0,1,0,0,0,0.0145756399661056
7189,4940.392416,2,0,1,0,0,0,0.0146275974376946
7191,4940.42576,2,0,1,0,0,0,0.0146174849096672
7193,4940.459072,2,0,1,0,0,0,0.014638407381448
7195,4940.492416,2,0,1,0,0,0,0.0146133004153111
7197,4940.52576,2,0,1,0,0,0,0.0146694423812563
7199,4940.559072,2,0,1,0,0,0,0.0146952467631193
7201,4940.592416,2,0,1,0,0,0,0.0147193076056672
7203,4940.62576,2,0,1,0,0,0,0.0147280253022425
7205,4940.659072,2,0,1,0,0,0,0.0147597577177768
7207,4940.692416,2,0,1,0,0,0,0.0147834698524617
7209,4940.725728,2,0,1,0,0,0,0.014792187549037
7211,4940.759072,2,0,1,0,0,0,0.0147831211445987
7213,4940.792416,2,0,1,0,0,0,0.0147580141784617
7215,4940.825728,2,0,1,0,0,0,0.0147705676615302
7217,4940.859072,2,0,1,0,0,0,0.0148186893466261
7219,4940.892416,2,0,1,0,0,0,0.0147792853581055
7221,4940.925728,2,0,1,0,0,0,0.0147942797962151
7223,4940.959072,2,0,1,0,0,0,0.0148239199645713
7225,4940.992416,2,0,1,0,0,0,0.0148071819871466
7227,4941.025728,2,0,1,0,0,0,0.0148319402454206
7229,4941.059072,2,0,1,0,0,0,0.0148699494024891
7231,4941.092416,2,0,1,0,0,0,0.0148532114250644
7233,4941.125728,2,0,1,0,0,0,0.0148500730542973
7235,4941.159072,2,0,1,0,0,0,0.0148043923242425
7237,4941.192416,2,0,1,0,0,0,0.0147998591220233
7239,4941.225728,2,0,1,0,0,0,0.0148186893466261
7241,4941.25904,2,0,1,0,0,0,0.0147730086165713
7243,4941.292416,2,0,1,0,0,0,0.0147444145718042
7245,4941.325728,2,0,1,0,0,0,0.0147524348526535
7247,4941.35904,2,0,1,0,0,0,0.0147098924933658
7249,4941.392416,2,0,1,0,0,0,0.0147468555268453
7251,4941.425696,2,0,1,0,0,0,0.0147430197403521
7253,4941.45904,2,0,1,0,0,0,0.0146736268756124
7255,4941.492416,2,0,1,0,0,0,0.0146833906957768
7257,4941.525696,2,0,1,0,0,0,0.0146976877181604
7259,4941.55904,2,0,1,0,0,0,0.0146865290665439
7261,4941.592416,2,0,1,0,0,0,0.0147154718191741
7263,4941.625696,2,0,1,0,0,0,0.0147060567068727
7265,4941.65904,2,0,1,0,0,0,0.0147304662572836
7267,4941.692416,2,0,1,0,0,0,0.0146910622687631
7269,4941.725696,2,0,1,0,0,0,0.0146872264822699
7271,4941.75904,2,0,1,0,0,0,0.0147022209203795
7273,4941.792416,2,0,1,0,0,0,0.0146872264822699
7275,4941.825696,2,0,1,0,0,0,0.0146907135609001
7277,4941.85904,2,0,1,0,0,0,0.0147315123808727
7279,4941.892352,2,0,1,0,0,0,0.014689318729448
7281,4941.925696,2,0,1,0,0,0,0.0146969903024343
7283,4941.959008,2,0,1,0,0,0,0.0146955954709823
7285,4941.992352,2,0,1,0,0,0,0.0147207024371193
7287,4942.025696,2,0,1,0,0,0,0.014689667437311
7289,4942.059008,2,0,1,0,0,0,0.0147112873248179
7291,4942.092352,2,0,1,0,0,0,0.0147119847405439
7293,4942.125696,2,0,1,0,0,0,0.0146938519316672
7295,4942.159008,2,0,1,0,0,0,0.0147057079990097
7297,4942.192352,2,0,1,0,0,0,0.0146509608645165
7299,4942.225664,2,0,1,0,0,0,0.0146722320441604
7301,4942.259008,2,0,1,0,0,0,0.0146607246846809
7303,4942.292352,2,0,1,0,0,0,0.0146530531116946
7305,4942.325664,2,0,1,0,0,0,0.0146052801344618
7307,4942.359008,2,0,1,0,0,0,0.0146269000219686
7309,4942.392352,2,0,1,0,0,0,0.0146596785610919
7311,4942.425664,2,0,1,0,0,0,0.014637709965722
7313,4942.459008,2,0,1,0,0,0,0.0146471250780234
7315,4942.49232,2,0,1,0,0,0,0.0146296896848727
7317,4942.525664,2,0,1,0,0,0,0.0146527044038316
7319,4942.559008,2,0,1,0,0,0,0.0146216694040234
7321,4942.59232,2,0,1,0,0,0,0.0146021417636946
7323,4942.625664,2,0,1,0,0,0,0.0146286435612837
7325,4942.659008,2,0,1,0,0,0,0.0146241103590645
7327,4942.69232,2,0,1,0,0,0,0.0146143465389001
7329,4942.725664,2,0,1,0,0,0,0.0145718041796124
7331,4942.758976,2,0,1,0,0,0,0.0145787783368727
7333,4942.79232,2,0,1,0,0,0,0.0145480920449275
7335,4942.825664,2,0,1,0,0,0,0.0145473946292015
7337,4942.858976,2,0,1,0,0,0,0.0145446049662974
7339,4942.89232,2,0,1,0,0,0,0.0145477433370645
7341,4942.925664,2,0,1,0,0,0,0.0145393743483522
7343,4942.958976,2,0,1,0,0,0,0.0145383282247631
7345,4942.99232,2,0,1,0,0,0,0.0146704885048453
7347,4943.025664,2,0,1,0,0,0,0.0147220972685713
7349,4943.058976,2,0,1,0,0,0,0.014689318729448
7351,4943.09232,2,0,1,0,0,0,0.0146704885048453
7353,4943.125632,2,0,1,0,0,0,0.0146324793477768
7355,4943.158976,2,0,1,0,0,0,0.0146331767635028
7357,4943.19232,2,0,1,0,0,0,0.0145906344042152
7359,4943.225632,2,0,1,0,0,0,0.0145913318199412
7361,4943.258976,2,0,1,0,0,0,0.0146070236737768
7363,4943.29232,2,0,1,0,0,0,0.0145941214828453
7365,4943.325632,2,0,1,0,0,0,0.0145411178876672
7367,4943.358976,2,0,1,0,0,0,0.0145731990110645
7369,4943.392288,2,0,1,0,0,0,0.0145400717640782
